cruise,cast,niskin,dilution,mu0_HL,mu0_std_HL,g_HL,g_std_HL,kNoN_HL,kNoN_std_HL,muN_HL,muN_std_HL,mu0_LL,mu0_std_LL,g_LL,g_std_LL,kNoN_LL,kNoN_std_LL,muN_LL,muN_std_LL
en649,1',16-17-18',0.172068046902859,-0.962254304114606,0.929630040058023,-3.45594143184438,0.686114232035017,NaN,NaN,NaN,NaN,0.690128396291588,0.59513684337643,1.9154439480494,0.373531996236678,NaN,NaN,NaN,NaN
en649,12',22-23-24',0.247108097327483,0.183267315184365,0.0279455896247338,0,0,0.183267315184365,0.0279455896247338,0.221870477456867,0.0277753323507078,0.49746185755358,0.0523710952554352,0.250594376510173,0.042941176327257,NaN,NaN,NaN,NaN
en649,16',14-15',0.452511306831707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0818401360661567,0.0256690017567953,-0.53471223626237,0.0273324523797169,NaN,NaN,NaN,NaN
en649,16',22-23-24',0.258183628593951,0.283691061148026,0.0691492197814494,-0.414973254353394,0.0406536194300167,NaN,NaN,NaN,NaN,0.349225173941247,0.0694680455171782,-0.145689696108039,0.0440920644555984,NaN,NaN,NaN,NaN
en649,16',9-10',0.420231907237105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.186311672110135,0.0895398216951614,-0.748317491943357,0.0904112390458806,NaN,NaN,NaN,NaN
en649,19',22-23-24',0.307726864330638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en649,21',22-23-24',0.185441047584678,0.617517438141719,0.52296979349623,1.32044615541864,0.408543371869636,NaN,NaN,NaN,NaN,-0.376430855293719,0.353095020165622,0,0,NaN,NaN,NaN,NaN
en649,5',16-17-18',0.277475262017683,-0.0764911047684956,0.201405594306499,-0.322522489979993,0.123032085731681,NaN,NaN,NaN,NaN,-0.0532485992041777,0.148697859491063,0,0,NaN,NaN,NaN,NaN
en649,8',21-22-23',0.203433015958161,0.395277698291912,0.164092558925267,0,0,NaN,NaN,NaN,NaN,0.843661560675265,0.108819303339891,0.362750805892603,0.0760463430223538,NaN,NaN,NaN,NaN
