cruise,cast,niskin,niskin_other_method,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,duration_incubation,dilution,mu0_HL,mu0_std_HL,g_HL,g_std_HL,kNoN_HL,kNoN_std_HL,muN_HL,muN_std_HL,mu0_LL,mu0_std_LL,g_LL,g_std_LL,kNoN_LL,kNoN_std_LL,muN_LL,muN_std_LL
en617,1',13-14-15',NA,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,0,0,0,1.00416666665114,0.211436950146628,0.66177538774148,0.214847697671778,0.154643962710996,0.0493792925882451,0.507131425030484,0.214847697671778,0,0,0.725321643389665,0.0772629101987203,-0.149095715618905,0.0588965742206041,0.725321643389665,0.0772629101987203,1.44530248863817,0.0926560979892421
en617,14',20-21-22-23-24',NA,2018-07-22 09:27:03+00:00,2018-07-22 10:30:00+00:00,2018-07-23 10:30:00+00:00,0,0,0,1,0.255526657997399,0.410124343766509,0.0797709846820648,-0.275493102292026,0.0935795034946514,0.410124343766509,0.0797709846820648,0.821259225385746,0.147760926145407,0.576573646861783,0.108376486093113,0,0,NaN,NaN,NaN,NaN
en617,18',19-20',NA,2018-07-22 22:08:59+00:00,2018-07-22 22:30:00+00:00,2018-07-23 22:39:00+00:00,0,0,0,1.00624999997672,0.244855967078189,0.188184049256478,0.0734447444332153,0,0,0.188184049256478,0.0734447444332153,0.548072643372357,0.31317406528115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en617,21',14-15',NA,2018-07-23 13:58:31+00:00,2018-07-23 16:00:00+00:00,2018-07-24 16:14:00+00:00,0,0,0,1.00972222222481,0.364759725400458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.194165617814376,0.0370477921221173,0,0,-0.194165617814376,0.0370477921221173,0.107775238911459,0.0356559478632834
en617,21',17-18',NA,2018-07-23 14:00:59+00:00,2018-07-23 16:00:00+00:00,2018-07-24 16:14:00+00:00,0,0,0,1.00972222222481,0.489849955869373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.403301741525115,0.0342062612892211,-0.958062022403848,0.0223265137820102,0.403301741525115,0.0342062612892211,0.603063770230516,0.020138607973078
en617,21',19-21-23-24',NA,2018-07-23 14:04:33+00:00,2018-07-23 16:00:00+00:00,2018-07-24 16:14:00+00:00,0,0,0,1.00972222222481,0.283687943262412,0.290547189229633,0.0343090817230286,-0.273257072594997,0.100104535606511,0.290547189229633,0.0343090817230286,0.540017335994131,0.0640982265875542,0.622504175713116,0.0970048528113293,-0.166933495792185,0.0312404162625973,0.622504175713116,0.0970048528113293,0.830707831949514,0.0259490348128539
en617,5',17-18-19-20',NA,2018-07-21 07:04:37+00:00,2018-07-21 08:10:00+00:00,2018-07-22 08:00:00+00:00,0,0,0,0.993055555620231,0.248876909254268,1.1293883363045,0.213655215130234,0,0,NaN,NaN,NaN,NaN,1.15945130757136,0.21423253427036,0,0,NaN,NaN,NaN,NaN
en617,8',17-18-19-20',NA,2018-07-21 15:13:46+00:00,2018-07-21 16:00:00+00:00,2018-07-22 17:00:00+00:00,0,0,0,1.04166666674428,0.183189655172414,0.985357735946722,0.05122026728493,0.140543765553163,0.0391549061066302,0.844813970393559,0.05122026728493,0,0,0.84806244577392,0.0971280508161365,0.186371356436735,0.0673709855687427,0.661691089337184,0.0971280508161365,0,0
