cruise,cast,niskin,niskin_second_cast,station,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,light_level,size_fraction,Chla,Chlad10,Chlau10,Chlad10per,Chlau10per,duration_incubation,dilution,mu_0,mu_0_std,grazing,grazing_std,mu_N,mu_N_std
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,1,6.08090592334495,0.480940819164082,15%,>0&<10,3.83129827883059,1.31800582662769,2.5132924522029,0.344010236402157,0.655989763597843,0.993055555620231,0.172068046902859,0.955764936507677,1.5506304816782,1.95172571555121,0.905425196872488,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,1,6.08090592334495,0.480940819164082,15%,>0&<200,3.83129827883059,1.31800582662769,2.5132924522029,0.344010236402157,0.655989763597843,0.993055555620231,0.172068046902859,0.336471440047647,0.217424508487961,0.460991577000685,0.19207338712867,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,1,6.08090592334495,0.480940819164082,15%,>10&<200,3.83129827883059,1.31800582662769,2.5132924522029,0.344010236402157,0.655989763597843,0.993055555620231,0.172068046902859,0.250811284346153,0.106334546664777,0.0721472388115028,0.0959249383507075,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,1,6.08090592334495,0.480940819164082,65%,>0&<10,3.83129827883059,1.31800582662769,2.5132924522029,0.344010236402157,0.655989763597843,0.993055555620231,0.172068046902859,-0.264601899916565,1.53829804873657,0.411044397173612,1.04273285329431,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,1,6.08090592334495,0.480940819164082,65%,>0&<200,3.83129827883059,1.31800582662769,2.5132924522029,0.344010236402157,0.655989763597843,0.993055555620231,0.172068046902859,0.116198562408979,0.169577692823223,0.237581340865451,0.107778934089116,NaN,NaN
en649,1',16-17-18',NA',L1,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,41.2041066666667,-70.88648,3.44533333333333,5.3338,1,6.08090592334495,0.480940819164082,65%,>10&<200,3.83129827883059,1.31800582662769,2.5132924522029,0.344010236402157,0.655989763597843,0.993055555620231,0.172068046902859,0.321402607114591,0.166693294736076,0.242971477064173,0.104791716538924,NaN,NaN
en649,12',22-23-24',NA',L10,2020-02-03 17:45:45+00:00,2020-02-03 18:45:00+00:00,2020-02-04 18:40:00+00:00,39.9379533333333,-70.9003433333333,5.06033333333333,13.6803,2,13.2172222222222,0.950061024590115,15%,>0&<10,0.402956171628733,0.345333599818242,0.057622571810491,0.857000398883127,0.142999601116873,0.996527777751908,0.247108097327483,0.188484547028507,0.924097159803913,0,0.545279974436892,NaN,NaN
en649,12',22-23-24',NA',L10,2020-02-03 17:45:45+00:00,2020-02-03 18:45:00+00:00,2020-02-04 18:40:00+00:00,39.9379533333333,-70.9003433333333,5.06033333333333,13.6803,2,13.2172222222222,0.950061024590115,15%,>0&<200,0.402956171628733,0.345333599818242,0.057622571810491,0.857000398883127,0.142999601116873,0.996527777751908,0.247108097327483,0.323212075205076,0.154852531749102,0.0814532139328299,0.123175082532635,NaN,NaN
en649,12',22-23-24',NA',L10,2020-02-03 17:45:45+00:00,2020-02-03 18:45:00+00:00,2020-02-04 18:40:00+00:00,39.9379533333333,-70.9003433333333,5.06033333333333,13.6803,2,13.2172222222222,0.950061024590115,15%,>10&<200,0.402956171628733,0.345333599818242,0.057622571810491,0.857000398883127,0.142999601116873,0.996527777751908,0.247108097327483,0.241598296138275,0.439858738344871,-0.715906748818534,0.354626031568199,NaN,NaN
en649,12',22-23-24',NA',L10,2020-02-03 17:45:45+00:00,2020-02-03 18:45:00+00:00,2020-02-04 18:40:00+00:00,39.9379533333333,-70.9003433333333,5.06033333333333,13.6803,2,13.2172222222222,0.950061024590115,65%,>0&<10,0.402956171628733,0.345333599818242,0.057622571810491,0.857000398883127,0.142999601116873,0.996527777751908,0.247108097327483,0.170552459195953,0.56668036798844,0,0.352606518078726,NaN,NaN
en649,12',22-23-24',NA',L10,2020-02-03 17:45:45+00:00,2020-02-03 18:45:00+00:00,2020-02-04 18:40:00+00:00,39.9379533333333,-70.9003433333333,5.06033333333333,13.6803,2,13.2172222222222,0.950061024590115,65%,>0&<200,0.402956171628733,0.345333599818242,0.057622571810491,0.857000398883127,0.142999601116873,0.996527777751908,0.247108097327483,0.169030657587312,0.153643202716485,0,0.138738121622428,NaN,NaN
en649,12',22-23-24',NA',L10,2020-02-03 17:45:45+00:00,2020-02-03 18:45:00+00:00,2020-02-04 18:40:00+00:00,39.9379533333333,-70.9003433333333,5.06033333333333,13.6803,2,13.2172222222222,0.950061024590115,65%,>10&<200,0.402956171628733,0.345333599818242,0.057622571810491,0.857000398883127,0.142999601116873,0.996527777751908,0.247108097327483,-0.0184202643891872,0.860517981411074,0,0.541868770329456,NaN,NaN
