cruise,cast,niskin,dilution,mu0_HL,mu0_std_HL,g_HL,g_std_HL,kNoN_HL,kNoN_std_HL,muN_HL,muN_std_HL,mu0_LL,mu0_std_LL,g_LL,g_std_LL,kNoN_LL,kNoN_std_LL,muN_LL,muN_std_LL
en608,1',11-12-13-14',0.221662468513853,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,15',22-23-24',0.166804979253112,NaN,NaN,0,0,NaN,NaN,-0.492867811931665,0.37560901899475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,19',11-12',0.258352144469526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,19',15',0.22967032967033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,19',21-22-23',0.174423076923077,NaN,NaN,0,0,NaN,NaN,-1.48391522273707,1.13880802413451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,5',17-18-19-20',0.228260869565218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,8',20-21-22-23',0.200103519668737,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
