cruise,cast,niskin,niskin_other_method,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,duration_incubation,dilution,mu0_HL,mu0_std_HL,g_HL,g_std_HL,kNoN_HL,kNoN_std_HL,muN_HL,muN_std_HL,mu0_LL,mu0_std_LL,g_LL,g_std_LL,kNoN_LL,kNoN_std_LL,muN_LL,muN_std_LL
en649,1',16-17-18',NA,2020-02-01 18:17:55+00:00,2020-02-01 19:20:00+00:00,2020-02-02 19:10:00+00:00,0,0,0,0.993055555620231,0.172068046902859,0.116198562408979,0.169577692823223,0.237581340865451,0.105866043472799,NaN,NaN,NaN,NaN,0.336471440047647,0.16672226576938,0.460991577000685,0.11898845829795,NaN,NaN,NaN,NaN
en649,12',22-23-24',NA,2020-02-03 17:45:45+00:00,2020-02-03 18:45:00+00:00,2020-02-04 18:40:00+00:00,0,0,0,0.996527777751908,0.247108097327483,0.137475549006241,0.137746165845792,0,0,NaN,NaN,NaN,NaN,0.260923069152458,0.138132334400096,0,0,NaN,NaN,NaN,NaN
en649,16',14-15',NA,2020-02-04 12:54:40+00:00,2020-02-04 14:40:00+00:00,2020-02-05 14:55:00+00:00,0,0,0,1.01041666662786,0.452511306831707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0292223826079159,0.102617546277066,-0.407198762718758,0.0874691492480518,NaN,NaN,NaN,NaN
en649,16',22-23-24',NA,2020-02-04 13:01:11+00:00,2020-02-04 14:40:00+00:00,2020-02-05 14:55:00+00:00,0,0,0,1.01041666662786,0.258183628593951,0.264538385956775,0.145539635564035,-0.301141267500517,0.0998762579724125,NaN,NaN,NaN,NaN,0.312129592413605,0.145807891235386,0,0,NaN,NaN,NaN,NaN
en649,16',9-10',NA,2020-02-04 12:51:07+00:00,2020-02-04 14:40:00+00:00,2020-02-05 14:55:00+00:00,0,0,0,1.01041666662786,0.420231907237105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.162406795763563,0.214332288772506,-0.584666052395099,0.17404468150195,NaN,NaN,NaN,NaN
en649,19',22-23-24',NA,2020-02-05 04:04:06+00:00,2020-02-05 05:00:00+00:00,2020-02-06 06:20:00+00:00,0,0,0,1.05555555550382,0.307726864330638,0.0657315984720865,0.101809504932189,-0.598790013433894,0.152380449190541,NaN,NaN,NaN,NaN,0.299367572807656,0.271700505903566,-0.543083443026165,0.181400379641579,NaN,NaN,NaN,NaN
en649,21',22-23-24',NA,2020-02-05 10:23:15+00:00,2020-02-05 11:30:00+00:00,2020-02-06 11:20:00+00:00,0,0,0,0.993055555620231,0.185441047584678,0.638875264393209,0.184352293986058,0.650804447614853,0.0962732168813415,NaN,NaN,NaN,NaN,0.346348268553479,0.149300555936896,0.364906284516675,0.133232819873993,NaN,NaN,NaN,NaN
en649,5',16-17-18',NA,2020-02-02 08:49:45+00:00,2020-02-02 09:50:00+00:00,2020-02-03 10:15:00+00:00,0,0,0,1.01736111112405,0.277475262017683,0.0607577394901969,0.104612474275506,0,0,NaN,NaN,NaN,NaN,0.123228237394623,0.107858702019676,0,0,NaN,NaN,NaN,NaN
en649,8',21-22-23',NA,2020-02-03 01:21:50+00:00,2020-02-03 02:40:00+00:00,2020-02-04 03:15:00+00:00,0,0,0,1.02430555550382,0.203433015958161,0.232616540431623,0.193901116153015,0,0,NaN,NaN,NaN,NaN,0.512389216027675,0.069522921410089,0.149897397097415,0.0408621364051206,NaN,NaN,NaN,NaN
