cruise,cast,niskin,niskin_other_method,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,duration_incubation,dilution,mu0_HL,mu0_std_HL,g_HL,g_std_HL,kNoN_HL,kNoN_std_HL,muN_HL,muN_std_HL,mu0_LL,mu0_std_LL,g_LL,g_std_LL,kNoN_LL,kNoN_std_LL,muN_LL,muN_std_LL
en655,1',19-20-21',NA,2020-07-25 15:58:10+00:00,2020-07-25 16:50:00+00:00,2020-07-26 16:50:00+00:00,0,0,0,1,0.252388145437525,0.48380687243076,0.141551851292714,0,0,0.48380687243076,0.141551851292714,1.02835603634608,0.221763824566674,0.683566512205898,0.104837863302535,0,0,0.683566512205898,0.104837863302535,1.20758902591802,0.215247858554677
en655,12',21-22-23',NA,2020-07-27 10:52:26+00:00,2020-07-27 11:30:00+00:00,2020-07-28 10:45:00+00:00,0,0,0,0.96875,0.218155893536122,1.24363745561753,0.0805157390752108,0.539592622812391,0.208566132183413,0.704044832805141,0.0805157390752108,0,0,1.08385607052313,0.21255298443118,0.318527004693857,0.132875891927024,0.765329065829273,0.21255298443118,0,0
en655,2',18-19-20',NA,2020-07-25 18:10:12+00:00,2020-07-25 19:00:00+00:00,2020-07-26 19:15:00+00:00,0,0,0,1.01041666674428,0.17246840663873,0.329913682355647,0.243389580471362,0,0,0.329913682355647,0.243389580471362,0.953356261162405,0.108706276656397,0.553599242840339,0.187183428605104,0,0,0.553599242840339,0.187183428605104,1.17895432563537,0.186751684713938
en655,7',21-22-23',NA,2020-07-26 11:31:52+00:00,2020-07-26 12:20:00+00:00,2020-07-27 12:50:00+00:00,0,0,0,1.02083333337214,0.20716849634501,0.363516282826936,0.149969430416517,0,0,0.363516282826936,0.149969430416517,1.18229583369256,0.219617361353161,0.482673898309077,0.273007158022112,0,0,0.482673898309077,0.273007158022112,1.3161581734006,0.210816167945179
