cruise,cast,niskin,niskin_other_method,nearest_station,distance,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,light_level,size_fraction,Chla,Chlad10,Chlau10,Chlad10per,Chlau10per,duration_incubation,dilution,mu0,mu0_std,g,g_std,muN,muN_std
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,15%,>0&<10,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,NaN,NaN,-0.357559691302078,0.0536584300092138,1.45548238541642,0.0941858807597119
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,15%,>0&<200,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,0.725321643389665,0.0772629101987203,-0.149095715618905,0.0588965742206041,1.44530248863817,0.0926560979892421
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,15%,>10&<200,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,NaN,NaN,0.408273672413575,0.0935945999954352,1.81403051879337,0.123095030269726
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,65%,>0&<10,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,NaN,NaN,0.529347938246984,0.183485592556111,1.72181790595348,0.343599066738719
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,65%,>0&<200,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,0.66177538774148,0.214847697671778,0.154643962710996,0.0493792925882451,1.583773578264,0.0720781398546346
en617,1',13-14-15',NA',,NaN,2018-07-20 17:39:19+00:00,2018-07-20 18:54:00+00:00,2018-07-21 19:00:00+00:00,41.20336,-70.88546,1.88433333333333,20.1600666666667,1,22.3243068965517,0.914152508393863,65%,>10&<200,1.49267795242689,1.1608744662276,0.331803486199292,0.777712609970674,0.222287390029326,1.00416666665114,0.211436950146628,NaN,NaN,0,0,1.59960455755052,0.181435188206591
en617,14',20-21-22-23-24',NA',,NaN,2018-07-22 09:27:03+00:00,2018-07-22 10:30:00+00:00,2018-07-23 10:30:00+00:00,40.145296,-70.759398,7.0248,23.018,1,23.7034221453287,0.385064634267336,15%,>0&<10,0.336618576368411,0.288226920168765,0.0483916561996461,0.856241872561769,0.143758127438231,1,0.255526657997399,NaN,NaN,0.411499065923453,0.0297632101601271,0.902951152844447,0.017613055172641
en617,14',20-21-22-23-24',NA',,NaN,2018-07-22 09:27:03+00:00,2018-07-22 10:30:00+00:00,2018-07-23 10:30:00+00:00,40.145296,-70.759398,7.0248,23.018,1,23.7034221453287,0.385064634267336,15%,>0&<200,0.336618576368411,0.288226920168765,0.0483916561996461,0.856241872561769,0.143758127438231,1,0.255526657997399,0.576573646861783,0.108376486093113,0,0,NaN,NaN
en617,14',20-21-22-23-24',NA',,NaN,2018-07-22 09:27:03+00:00,2018-07-22 10:30:00+00:00,2018-07-23 10:30:00+00:00,40.145296,-70.759398,7.0248,23.018,1,23.7034221453287,0.385064634267336,15%,>10&<200,0.336618576368411,0.288226920168765,0.0483916561996461,0.856241872561769,0.143758127438231,1,0.255526657997399,NaN,NaN,-1.14195319444268,0.100785130200543,0.880433108331948,0.0562360310300948
en617,14',20-21-22-23-24',NA',,NaN,2018-07-22 09:27:03+00:00,2018-07-22 10:30:00+00:00,2018-07-23 10:30:00+00:00,40.145296,-70.759398,7.0248,23.018,1,23.7034221453287,0.385064634267336,65%,>0&<10,0.336618576368411,0.288226920168765,0.0483916561996461,0.856241872561769,0.143758127438231,1,0.255526657997399,NaN,NaN,0,0,0.738819234677559,0.114672805728716
en617,14',20-21-22-23-24',NA',,NaN,2018-07-22 09:27:03+00:00,2018-07-22 10:30:00+00:00,2018-07-23 10:30:00+00:00,40.145296,-70.759398,7.0248,23.018,1,23.7034221453287,0.385064634267336,65%,>0&<200,0.336618576368411,0.288226920168765,0.0483916561996461,0.856241872561769,0.143758127438231,1,0.255526657997399,0.410124343766509,0.0797709846820648,-0.275493102292026,0.0935795034946514,0.821259225385746,0.147760926145407
en617,14',20-21-22-23-24',NA',,NaN,2018-07-22 09:27:03+00:00,2018-07-22 10:30:00+00:00,2018-07-23 10:30:00+00:00,40.145296,-70.759398,7.0248,23.018,1,23.7034221453287,0.385064634267336,65%,>10&<200,0.336618576368411,0.288226920168765,0.0483916561996461,0.856241872561769,0.143758127438231,1,0.255526657997399,NaN,NaN,-1.56586787539044,0.186208371703814,1.20305209704296,0.25290080148147
en617,18',19-20',NA',,NaN,2018-07-22 22:08:59+00:00,2018-07-22 22:30:00+00:00,2018-07-23 22:39:00+00:00,39.94902,-70.88001,5.0505,23.609,1,24.5657079037801,1.3342880630041,65%,>0&<10,0.319109157571615,0.279384663676383,0.0397244938952318,0.875514403292181,0.124485596707819,1.00624999997672,0.244855967078189,NaN,NaN,0,0,0.507831579365035,0.352296614645436
en617,18',19-20',NA',,NaN,2018-07-22 22:08:59+00:00,2018-07-22 22:30:00+00:00,2018-07-23 22:39:00+00:00,39.94902,-70.88001,5.0505,23.609,1,24.5657079037801,1.3342880630041,65%,>0&<200,0.319109157571615,0.279384663676383,0.0397244938952318,0.875514403292181,0.124485596707819,1.00624999997672,0.244855967078189,0.188184049256478,0.0734447444332153,0,0,0.548072643372357,0.31317406528115
en617,18',19-20',NA',,NaN,2018-07-22 22:08:59+00:00,2018-07-22 22:30:00+00:00,2018-07-23 22:39:00+00:00,39.94902,-70.88001,5.0505,23.609,1,24.5657079037801,1.3342880630041,65%,>10&<200,0.319109157571615,0.279384663676383,0.0397244938952318,0.875514403292181,0.124485596707819,1.00624999997672,0.244855967078189,NaN,NaN,0,0,0.690032283111423,0.480559603977675
en617,21',14-15',NA',,NaN,2018-07-23 13:58:31+00:00,2018-07-23 16:00:00+00:00,2018-07-24 16:14:00+00:00,39.76467,-70.859505,30.3325,14.6841,1,23.8502260273972,1.60827474858903,15%,>0&<10,1.91290400355001,1.31320640975973,0.599697593790277,0.68649885583524,0.31350114416476,1.00972222222481,0.364759725400458,NaN,NaN,0,0,0.132286130675126,0.0646548349629931
en617,21',14-15',NA',,NaN,2018-07-23 13:58:31+00:00,2018-07-23 16:00:00+00:00,2018-07-24 16:14:00+00:00,39.76467,-70.859505,30.3325,14.6841,1,23.8502260273972,1.60827474858903,15%,>0&<200,1.91290400355001,1.31320640975973,0.599697593790277,0.68649885583524,0.31350114416476,1.00972222222481,0.364759725400458,-0.194165617814376,0.0370477921221173,0,0,0.107775238911459,0.0356559478632834
en617,21',14-15',NA',,NaN,2018-07-23 13:58:31+00:00,2018-07-23 16:00:00+00:00,2018-07-24 16:14:00+00:00,39.76467,-70.859505,30.3325,14.6841,1,23.8502260273972,1.60827474858903,15%,>10&<200,1.91290400355001,1.31320640975973,0.599697593790277,0.68649885583524,0.31350114416476,1.00972222222481,0.364759725400458,NaN,NaN,0,0,0.0459189821553737,0.103512906379604
en617,21',17-18',NA',,NaN,2018-07-23 14:00:59+00:00,2018-07-23 16:00:00+00:00,2018-07-24 16:14:00+00:00,39.764285,-70.85864,20.7675,22.3104,1,23.8502260273972,1.60827474858903,15%,>0&<10,0.743931431128887,0.518935399590054,0.224996031538834,0.697558105325096,0.302441894674905,1.00972222222481,0.489849955869373,NaN,NaN,-1.15019672491396,0.0280655614110182,0.70272156316642,0.0165477309790434
