cruise,cast,niskin,niskin_other_method,nearest_station,distance,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,light_level_HL,light_level_LL,Chla,Chlad10,Chlau10,Chlad10per,Chlau10per,duration_incubation,dilution,mu0_HL,mu0_std_HL,g_HL,g_std_HL,kNoN_HL,kNoN_std_HL,muN_HL,muN_std_HL,mu0_LL,mu0_std_LL,g_LL,g_std_LL,kNoN_LL,kNoN_std_LL,muN_LL,muN_std_LL,mu0_HL_u10,mu0_std_HL_u10,g_HL_u10,g_std_HL_u10,kNoN_HL_u10,kNoN_std_HL_u10,muN_HL_u10,muN_std_HL_u10,mu0_LL_u10,mu0_std_LL_u10,g_LL_u10,g_std_LL_u10,kNoN_LL_u10,kNoN_std_LL_u10,muN_LL_u10,muN_std_LL_u10,mu0_HL_d10,mu0_std_HL_d10,g_HL_d10,g_std_HL_d10,kNoN_HL_d10,kNoN_std_HL_d10,muN_HL_d10,muN_std_HL_d10,mu0_LL_d10,mu0_std_LL_d10,g_LL_d10,g_std_LL_d10,kNoN_LL_d10,kNoN_std_LL_d10,muN_LL_d10,muN_std_LL_d10,mu0_HL_d10_sf,mu0_std_HL_d10_sf,g_HL_d10_sf,g_std_HL_d10_sf,kNoN_HL_d10_sf,kNoN_std_HL_d10_sf,muN_HL_d10_sf,muN_std_HL_d10_sf,mu0_LL_d10_sf,mu0_std_LL_d10_sf,g_LL_d10_sf,g_std_LL_d10_sf,kNoN_LL_d10_sf,kNoN_std_LL_d10_sf,muN_LL_d10_sf,muN_std_LL_d10_sf,mu0_HL_no_mesh,mu0_std_HL_no_mesh,g_HL_no_mesh,g_std_HL_no_mesh,kNoN_HL_no_mesh,kNoN_std_HL_no_mesh,muN_HL_no_mesh,muN_std_HL_no_mesh,mu0_LL_no_mesh,mu0_std_LL_no_mesh,g_LL_no_mesh,g_std_LL_no_mesh,kNoN_LL_no_mesh,kNoN_std_LL_no_mesh,muN_LL_no_mesh,muN_std_LL_no_mesh
en657,1',17-18-19-20',NA',,NaN,2020-10-13 18:05:34+00:00,2020-10-13 19:20:00+00:00,2020-10-14 20:20:00+00:00,41.203035,-70.8752325,2.72775,16.747775,3,15.3174086378737,2.2657749069855,65%,15%,4.0686824348222,2.24762930002572,1.82105313479648,0.552421904641457,0.447578095358543,1.04166666674428,0.201719994941191,0.226143843841898,0.0887962804859932,0.185335280796341,0.0619894674416385,NaN,NaN,NaN,NaN,0.253052538709196,0.0734242753189541,0.158535697433261,0.0556779889810031,NaN,NaN,NaN,NaN,0.374875292674041,0.114579735171618,0.26916849645487,0.071844806440857,NaN,NaN,NaN,NaN,0.409024829803437,0.136646777431997,0.274253068621328,0.0829323797482658,NaN,NaN,NaN,NaN,0.0135034052440666,0.111457082185009,0,0,NaN,NaN,NaN,NaN,0.0734120825369266,0.105957029153015,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en657,12',10-11',NA',,NaN,2020-10-15 16:49:49+00:00,2020-10-15 18:20:00+00:00,2020-10-16 19:25:00+00:00,39.76928,-70.87725,35.497,20.25,1,21.785761589404,1.61892193204037,NA,5%,0.510841681294308,0.4021856824405,0.108655998853807,0.787300052379226,0.212699947620774,1.04513888887595,0.277166686812522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.662122764358011,0.0688553225440924,0,0,0.662122764358011,0.0688553225440924,0.73815691195762,0.0565991717615661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.444856826084466,0.182451026693637,-0.59397134833416,0.137425819778685,0.444856826084466,0.182451026693637,0.707660599494119,0.1784371975544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.729546174996006,0.0404653871376327,-0.126038120003827,0.0293184641141806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en657,12',15-16',NA',,NaN,2020-10-15 16:52:43+00:00,2020-10-15 18:20:00+00:00,2020-10-16 19:25:00+00:00,39.76888,-70.8767,25.776,20.17705,1,21.785761589404,1.61892193204037,NA,15%,0.749600837707296,0.654117757827998,0.095483079879298,0.872621433866937,0.127378566133063,1.04513888887595,0.17131167797029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.260345277583495,0.174185967947956,0.201608243291283,0.0803186717565547,0.0587370342922123,0.174185967947956,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en657,12',21-22-23',NA',,NaN,2020-10-15 16:56:16+00:00,2020-10-15 18:20:00+00:00,2020-10-16 19:25:00+00:00,39.7685266666667,-70.87608,3.207,21.1546333333333,1,21.785761589404,1.61892193204037,65%,15%,0.368203668023444,0.309975249618932,0.0582284184045125,0.841858125104813,0.158141874895187,1.04513888887595,0.271619430935211,0.558653159506356,0.12395152903687,0,0,0.558653159506356,0.12395152903687,0.765181520142652,0.0507177973700178,1.06170784533668,0.325321371086208,0.479551144201776,0.214782966440081,NaN,NaN,NaN,NaN,1.04660906625161,0.118664953468883,0,0,NaN,NaN,NaN,NaN,0.568519073816372,0.0439560392048976,-0.630192248769833,0.0805036792157868,0.568519073816372,0.0439560392048976,1.37794972765608,0.0939535629878346,0.520276015733824,0.0620194121268854,0.0860208270052501,0.0237385789946781,0.434255188728574,0.0620194121268854,0,0,0.925400707451308,0.00948063066376884,0.475965780114321,0.0258772515484996,0.449434927336987,0.00948063066376884,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en657,15',21-22-23',NA',,NaN,2020-10-16 12:04:15+00:00,2020-10-16 12:50:00+00:00,2020-10-17 13:15:00+00:00,40.12904,-70.7675,2.96633333333333,20.5042333333333,1,20.6132653061225,2.33135597897522,65%,15%,0.61432113464485,0.483487291736302,0.130833842908548,0.78702695458429,0.21297304541571,1.01736111112405,0.200073710485316,0.625133184479154,0.0693924556859636,0.217955680962096,0.0605807990464556,NaN,NaN,NaN,NaN,0.751888788861037,0.0922469152221191,0.336862515868168,0.0550852541807768,NaN,NaN,NaN,NaN,1.18657105926078,0.138707511347655,0.889426733913819,0.0893847028018897,NaN,NaN,NaN,NaN,0.702577463192778,0.100294943582914,0.490593463395519,0.124957163065932,0.211983999797259,0.100294943582914,0,0,0.512784118749059,0.0331192168078863,0.0782674249188161,0.0219828428674954,NaN,NaN,NaN,NaN,0.651971463375676,0.0221642820637065,0.246684400827041,0.0278190310808647,0.405287062548635,0.0221642820637065,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en657,17',21-22-23',NA',,NaN,2020-10-17 00:11:33+00:00,2020-10-17 00:55:00+00:00,2020-10-18 01:00:00+00:00,40.3602533333333,-70.8887933333333,3.61066666666667,20.9312333333333,2,18.6621034482759,1.68169137228398,65%,15%,0.868054195048393,0.813839400393926,0.0542147946544666,0.937544458671219,0.0624555413287809,1.00347222213168,0.133352302366387,0.627797342622635,0.177001680380276,0.642764462536156,0.105612421199793,NaN,NaN,NaN,NaN,0.793925641955838,0.236752984684189,0.920250914641593,0.213256559934622,NaN,NaN,NaN,NaN,1.19330983482185,0.131590944293229,0,0,NaN,NaN,NaN,NaN,1.2114149474528,0.186083611787896,-0.385467207640895,0.115284668413681,1.2114149474528,0.186083611787896,1.41130462072029,0.0876124953086332,0.340457956766409,0.0289307815037124,0.62548260176485,0.025319133385129,-0.285024644998441,0.0289307815037124,0,0,0.608822916060004,0.0670870852113387,1.06914225379854,0.0322675920836688,-0.46031933773854,0.0670870852113387,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en657,5',17-18-19-20',NA',,NaN,2020-10-14 13:22:14+00:00,2020-10-14 14:05:00+00:00,2020-10-15 14:24:00+00:00,41.0294,-70.8842975,4.1845,17.58925,3,15.6079180887372,1.83210208450896,65%,15%,2.53124842035268,0.315944228529255,2.21530419182342,0.124817550892628,0.875182449107372,1.0131944444729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.166771615162881,NaN,0,0.00525422287396603,0.166771615162881,0,0,NaN,0.019004015747102,NaN,0,0.253011596306064,0.019004015747102,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en657,6',20-21-22',NA',,NaN,2020-10-14 18:44:16+00:00,2020-10-14 19:40:00+00:00,2020-10-15 20:10:00+00:00,40.6955666666667,-70.89457,2.23433333333333,17.3108333333333,3,15.8889491525424,2.338186527825,65%,15%,1.12595524934622,0.792021753342396,0.333933496003821,0.703422053231939,0.296577946768061,1.02083333325572,0.185434337525592,0.444892275480467,0.114226380137211,0.303821924195876,0.0920746253363304,0.141070351284591,0.114226380137211,0,0,0.483111699153907,0.222053697026008,0,0,NaN,NaN,NaN,NaN,0.110162861653084,0.113137795457305,0,0,0.110162861653084,0.113137795457305,0.563395840308979,0.0687038245836875,0.25100793663451,0.0709013497332786,0,0,0.25100793663451,0.0709013497332786,0.553305789227099,0.122140446433332,0.577834853751139,0.0442753084954954,0.419373607405823,0.0588057775822745,0.158461246345317,0.0442753084954954,0,0,0.375882663859016,0.0321946686422742,0.167262465453095,0.0702707857968167,0.208620198405921,0.0321946686422742,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en657,9',21-22-23',NA',,NaN,2020-10-15 08:25:47+00:00,2020-10-15 09:20:00+00:00,2020-10-16 10:40:00+00:00,39.9321933333333,-70.8779333333333,2.45266666666667,21.9948666666667,1,21.6106557377049,1.77670236086969,65%,15%,0.658656240068434,0.532885737890713,0.125770502177721,0.809049858595959,0.190950141404041,1.05555555562023,0.239386884579929,0.440016365822603,0.101718033318167,-0.722223886504638,0.238552727384127,NaN,NaN,NaN,NaN,0.237605140622653,0.445701376346704,0,0,NaN,NaN,NaN,NaN,0.436058359109779,0.310794024994239,0,0,0.436058359109779,0.310794024994239,0.814751273089054,0.260586789077262,0.545341572676152,0.127843337863631,0,0,0.545341572676152,0.127843337863631,0.746133016901218,0.0744370435322108,0.378984414680404,0.172932649262597,-0.918845086195021,0.265721840886258,NaN,NaN,NaN,NaN,0.0306415544819679,0.0554811232445043,0,0,0.0306415544819679,0.0554811232445043,0.258793079892852,0.0294472023464832,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
