cruise,cast,niskin,dilution,mu0_HL,mu0_std_HL,g_HL,g_std_HL,kNoN_HL,kNoN_std_HL,muN_HL,muN_std_HL,mu0_LL,mu0_std_LL,g_LL,g_std_LL,kNoN_LL,kNoN_std_LL,muN_LL,muN_std_LL
en655,1',19-20-21',0.252388145437525,0.253959205141627,0.0428833099856638,-0.262175437972961,0.101044911546848,0.253959205141627,0.0428833099856638,0.36837102523741,0.0897539865137467,0.48042678253933,0.0280603566965351,-0.495078837203381,0.0490957099681024,0.48042678253933,0.0280603566965351,0.886178159666527,0.0574648589841606
en655,12',21-22-23',0.218155893536122,0.710274928805408,0.0494760887742143,-0.230615238237383,0.0512247970019509,NaN,NaN,NaN,NaN,1.14787603295615,0.0418149299777198,0.352820730776475,0.0269294514563656,NaN,NaN,NaN,NaN
en655,2',18-19-20',0.17246840663873,0.0932553280631397,0.0268849896230361,0.150481939011894,0.0112628361915261,-0.0572266109487542,0.0268849896230361,0,0,0.597536636509134,0.0266076982602644,0.486313710012444,0.0200986177442848,0.11122292649669,0.0266076982602644,0,0
en655,7',21-22-23',0.20716849634501,0.842096363308777,0.0555848270433797,0.405321169844532,0.0575249727481981,0.436775193464245,0.0555848270433797,0,0,1.20777327098958,0.0822178817370749,0.354024183646314,0.0664000864094014,0.853749087343263,0.0822178817370749,0,0
