cruise,cast,niskin,niskin_other_method,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,duration_incubation,dilution,mu0_HL,mu0_std_HL,g_HL,g_std_HL,kNoN_HL,kNoN_std_HL,muN_HL,muN_std_HL,mu0_LL,mu0_std_LL,g_LL,g_std_LL,kNoN_LL,kNoN_std_LL,muN_LL,muN_std_LL
en644,1',20-21-22',NA,2019-08-20 19:18:27+00:00,2019-08-20 20:12:00+00:00,2019-08-21 22:10:00+00:00,0,0,0,1.08194444444962,0.243256578947368,1.22505913216859,0.991201005476824,0,0,NaN,NaN,NaN,NaN,1.37672937009211,0.709428795572208,0,0,NaN,NaN,NaN,NaN
en644,13',21-22-23',NA,2019-08-22 17:29:39+00:00,2019-08-22 18:00:00+00:00,2019-08-23 18:50:00+00:00,0,0,0,1.03472222224809,0.159501557632399,0.541132861913916,0.210410300364765,0.445282269797619,0.129533671070322,NaN,NaN,NaN,NaN,0.999930311819261,0.0666777015414895,0.127771529361902,0.0572777827269376,0.872158782457359,0.0666777015414895,0,0
en644,17',15-17',NA,2019-08-23 01:54:12+00:00,2019-08-23 03:45:00+00:00,2019-08-24 03:00:00+00:00,0,0,0,0.96875,0.148244473342002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.265821331308645,0.131677486371126,-0.433085046115537,0.109590330100592,NaN,NaN,NaN,NaN
en644,17',19-20-21',NA,2019-08-23 01:56:17+00:00,2019-08-23 03:45:00+00:00,2019-08-24 03:00:00+00:00,0,0,0,0.96875,0.212041884816754,0.269602151928296,0.213301094168362,0.143646572272221,0.040724594003778,0.125955579656075,0.213301094168362,0,0,1.28332631069882,0.0769322154712132,-0.203865804763392,0.0783664223989426,1.28332631069882,0.0769322154712132,1.40878385489289,0.0313705833529861
en644,17',8-12',NA,2019-08-23 01:51:15+00:00,2019-08-23 03:45:00+00:00,2019-08-24 03:00:00+00:00,0,0,0,0.96875,0.227210884353742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.078729236653453,0.209637057094415,0,0,NaN,NaN,NaN,NaN
en644,2',18-19-20',NA,2019-08-21 00:48:42+00:00,2019-08-21 01:30:00+00:00,2019-08-22 00:30:00+00:00,0,0,0,0.958333333372138,0.190149253731343,0.606117313345188,0.128055418085997,0.374980553387048,0.120538960944571,0.23113675995814,0.128055418085997,0,0,1.28958004713005,0.0421871563250539,0.314749263490984,0.102951609646308,0.974830783639063,0.0421871563250539,0,0
en644,23',21-22-23',NA,2019-08-24 05:35:02+00:00,2019-08-24 06:15:00+00:00,2019-08-25 04:50:00+00:00,0,0,0,0.940972222248092,0.162978953049109,-0.952578852637653,0.46950576389627,0,0,NaN,NaN,NaN,NaN,0.0295447077542787,0.136757915598609,0.200325871684462,0.0538896156824919,-0.170781163930183,0.136757915598609,0,0
en644,7',20-21-22',NA,2019-08-21 20:51:42+00:00,2019-08-21 21:40:00+00:00,2019-08-22 22:00:00+00:00,0,0,0,1.01388888887595,0.207608695652174,0.323127456349095,0.0405239037897546,0.26894431895425,0.0536653901937269,0.0541831373948449,0.0405239037897546,0,0,0.360331551958517,0.0351431169208654,0.125344907330771,0.0404181550823408,0.234986644627746,0.0351431169208654,0,0
en644,9',21-22-23',NA,2019-08-22 04:52:56+00:00,2019-08-22 06:00:00+00:00,2019-08-23 05:45:00+00:00,0,0,0,0.989583333372138,0.251666666666667,0.00186585298403574,0.127764526297595,0,0,0.00186585298403574,0.127764526297595,0.400704424034547,0.107423411223874,0.713665789884712,0.0417279508022425,0,0,0.713665789884712,0.0417279508022425,0.831043771398497,0.0443427198183751
