cruise,cast,niskin,niskin_second_cast,station,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,light_level,size_fraction,Chla,Chlad10,Chlau10,Chlad10per,Chlau10per,duration_incubation,dilution,mu_0,mu_0_std,grazing,grazing_std,mu_N,mu_N_std
ar66b,1',10-11-12-13',NA',L2,2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,65%,>0&<10,1.58574486582654,0.853323291326911,0.732421574499629,0.538121427801144,0.461878572198856,0.954861111124046,0.185403860670765,-0.24800931837856,0.293584301979004,0.12332731909831,0.206837351608991,NaN,NaN
ar66b,1',10-11-12-13',NA',L2,2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,65%,>0&<200,1.58574486582654,0.853323291326911,0.732421574499629,0.538121427801144,0.461878572198856,0.954861111124046,0.185403860670765,0.210632316307218,0.11941662334634,0.326997358077019,0.0905853316610756,NaN,NaN
ar66b,1',10-11-12-13',NA',L2,2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,65%,>10&<200,1.58574486582654,0.853323291326911,0.732421574499629,0.538121427801144,0.461878572198856,0.954861111124046,0.185403860670765,0.630527350744252,0.100789684074431,0.512368134069428,0.0776654637731031,NaN,NaN
ar66b,15',22-23-24',NA',L9,2022-04-23 15:37:42+00:00,2022-04-23 22:40:00+00:00,2022-04-24 22:40:00+00:00,40.0981666666667,-70.8846666666667,4.25175609223567,9.3569,2,10.7686851211073,0.609319122355542,65%,>0&<10,3.80158518902891,1.70151638250556,2.10006880652335,0.447580758525682,0.552419241474318,1,0.167252382692794,-0.0820744802358275,0.259998279246912,0,0.198898039943775,NaN,NaN
ar66b,15',22-23-24',NA',L9,2022-04-23 15:37:42+00:00,2022-04-23 22:40:00+00:00,2022-04-24 22:40:00+00:00,40.0981666666667,-70.8846666666667,4.25175609223567,9.3569,2,10.7686851211073,0.609319122355542,65%,>0&<200,3.80158518902891,1.70151638250556,2.10006880652335,0.447580758525682,0.552419241474318,1,0.167252382692794,-0.144968893578335,0.0280845520278544,0,0.0271216111568856,0.211347543260317,0.0316249486849507
ar66b,15',22-23-24',NA',L9,2022-04-23 15:37:42+00:00,2022-04-23 22:40:00+00:00,2022-04-24 22:40:00+00:00,40.0981666666667,-70.8846666666667,4.25175609223567,9.3569,2,10.7686851211073,0.609319122355542,65%,>10&<200,3.80158518902891,1.70151638250556,2.10006880652335,0.447580758525682,0.552419241474318,1,0.167252382692794,0.0358605835649599,0.086874157077988,0.108507774066162,0.0662018853345144,0.47510712870583,0.0663150343734316
ar66b,19',22-23-24',NA',L7,2022-04-24 14:37:48+00:00,2022-04-24 21:10:00+00:00,2022-04-25 21:15:00+00:00,40.2265,-70.8831666666667,3.11188469374171,8.86503333333333,2,10.4281379310345,1.74965819151558,65%,>0&<10,3.20315802965159,2.0206575833951,1.18250044625649,0.630832935712164,0.369167064287836,1.00347222213168,0.213210587956583,-0.382882241419551,0.301198274974591,0,0.173541890621606,-0.193766005494323,0.301198274974591
ar66b,19',22-23-24',NA',L7,2022-04-24 14:37:48+00:00,2022-04-24 21:10:00+00:00,2022-04-25 21:15:00+00:00,40.2265,-70.8831666666667,3.11188469374171,8.86503333333333,2,10.4281379310345,1.74965819151558,65%,>0&<200,3.20315802965159,2.0206575833951,1.18250044625649,0.630832935712164,0.369167064287836,1.00347222213168,0.213210587956583,-0.166000282495266,0.0538889100833675,0.0444077454294361,0.0470349813744744,0.00685765447134341,0.0538889100833675
ar66b,19',22-23-24',NA',L7,2022-04-24 14:37:48+00:00,2022-04-24 21:10:00+00:00,2022-04-25 21:15:00+00:00,40.2265,-70.8831666666667,3.11188469374171,8.86503333333333,2,10.4281379310345,1.74965819151558,65%,>10&<200,3.20315802965159,2.0206575833951,1.18250044625649,0.630832935712164,0.369167064287836,1.00347222213168,0.213210587956583,0.0969822114569258,0.137905529362748,0.0575067597838043,0.0785900983108976,0.304086592730057,0.110497890393073
ar66b,20',20-21-22',NA',L8,2022-04-24 22:26:39+00:00,2022-04-25 04:35:00+00:00,2022-04-26 04:35:00+00:00,40.134,-70.77,2.90848699408487,8.86353333333333,2,10.4861937716263,1.67752071227152,65%,>0&<10,5.62473006671609,1.99222772424018,3.63250234247591,0.354190814600871,0.645809185399129,1,0.19356984057613,-0.6247387672962,0.216775751455403,0,0.191514638107481,-0.0551818691637151,0.216775751455403
ar66b,20',20-21-22',NA',L8,2022-04-24 22:26:39+00:00,2022-04-25 04:35:00+00:00,2022-04-26 04:35:00+00:00,40.134,-70.77,2.90848699408487,8.86353333333333,2,10.4861937716263,1.67752071227152,65%,>0&<200,5.62473006671609,1.99222772424018,3.63250234247591,0.354190814600871,0.645809185399129,1,0.19356984057613,-0.330091348097231,0.0789238980259202,-0.0775339724022325,0.0388457384684999,0.00526696395556382,0.0587793499826918
