cruise,cast,niskin,niskin_other_method,station,nearest_station,distance,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,light_level,size_fraction,Chla,Chlad10,Chlau10,Chlad10per,Chlau10per,duration_incubation,dilution,mu0,mu0_std,g,g_std,muN,muN_std
en627,23-24',11-12',11-12',L10,,NaN,2019-02-04 06:43:39+00:00,2019-02-04 08:00:00+00:00,2019-02-05 08:00:00+00:00,39.93569,-70.8836825,4.938,6.953375,1,10.1074636678201,1.98106333493996,15%,>0&<10,2.07315486005749,0.617817048582847,1.45533781147465,0.29800815196493,0.70199184803507,1,0.16826886103207,NaN,NaN,1.43247510081986,0.430158962084806,1.1767733163682,0.807433902706454
en627,23-24',11-12',11-12',L10,,NaN,2019-02-04 06:43:39+00:00,2019-02-04 08:00:00+00:00,2019-02-05 08:00:00+00:00,39.93569,-70.8836825,4.938,6.953375,1,10.1074636678201,1.98106333493996,15%,>0&<200,2.07315486005749,0.617817048582847,1.45533781147465,0.29800815196493,0.70199184803507,1,0.16826886103207,0.492706719725603,0.169476268863999,0.569213034140478,0.103482550469075,NaN,NaN
en627,23-24',11-12',11-12',L10,,NaN,2019-02-04 06:43:39+00:00,2019-02-04 08:00:00+00:00,2019-02-05 08:00:00+00:00,39.93569,-70.8836825,4.938,6.953375,1,10.1074636678201,1.98106333493996,15%,>10&<200,2.07315486005749,0.617817048582847,1.45533781147465,0.29800815196493,0.70199184803507,1,0.16826886103207,NaN,NaN,0.294938993446428,0.126480323140961,0.237677855505124,0.211086142049901
en627,23-24',11-12',11-12',L10,,NaN,2019-02-04 06:43:39+00:00,2019-02-04 08:00:00+00:00,2019-02-05 08:00:00+00:00,39.93569,-70.8836825,4.938,6.953375,1,10.1074636678201,1.98106333493996,65%,>0&<10,2.07315486005749,0.617817048582847,1.45533781147465,0.29800815196493,0.70199184803507,1,0.16826886103207,NaN,NaN,0,0,-0.46036369225171,1.42146182345749
en627,23-24',11-12',11-12',L10,,NaN,2019-02-04 06:43:39+00:00,2019-02-04 08:00:00+00:00,2019-02-05 08:00:00+00:00,39.93569,-70.8836825,4.938,6.953375,1,10.1074636678201,1.98106333493996,65%,>0&<200,2.07315486005749,0.617817048582847,1.45533781147465,0.29800815196493,0.70199184803507,1,0.16826886103207,0.417555236781578,0.138038350827755,0.412917452684366,0.102737158046796,NaN,NaN
en627,23-24',11-12',11-12',L10,,NaN,2019-02-04 06:43:39+00:00,2019-02-04 08:00:00+00:00,2019-02-05 08:00:00+00:00,39.93569,-70.8836825,4.938,6.953375,1,10.1074636678201,1.98106333493996,65%,>10&<200,2.07315486005749,0.617817048582847,1.45533781147465,0.29800815196493,0.70199184803507,1,0.16826886103207,NaN,NaN,0,0,0.118263212964874,0.142873335344704
en627,25',1-2',NA',L11,,NaN,2019-02-04 11:59:35+00:00,2019-02-04 13:30:00+00:00,2019-02-05 13:30:00+00:00,39.77663,-70.88954,50.091,8.94835,1,10.4538615916955,1.57272388494504,5%,>0&<10,1.20809141454823,0.102836644215727,1.10525477033251,0.085123230723548,0.914876769276452,1,0.538750866079382,NaN,NaN,NaN,NaN,NaN,NaN
en627,25',1-2',NA',L11,,NaN,2019-02-04 11:59:35+00:00,2019-02-04 13:30:00+00:00,2019-02-05 13:30:00+00:00,39.77663,-70.88954,50.091,8.94835,1,10.4538615916955,1.57272388494504,5%,>0&<200,1.20809141454823,0.102836644215727,1.10525477033251,0.085123230723548,0.914876769276452,1,0.538750866079382,-0.00485964798158716,0.412570152899937,-4.45788590167107,0.93098631143896,NaN,NaN
en627,25',1-2',NA',L11,,NaN,2019-02-04 11:59:35+00:00,2019-02-04 13:30:00+00:00,2019-02-05 13:30:00+00:00,39.77663,-70.88954,50.091,8.94835,1,10.4538615916955,1.57272388494504,5%,>10&<200,1.20809141454823,0.102836644215727,1.10525477033251,0.085123230723548,0.914876769276452,1,0.538750866079382,NaN,NaN,0,0,0.104417518920274,0.22501995378897
en627,25',5-6',NA',L11,,NaN,2019-02-04 12:02:14+00:00,2019-02-04 13:30:00+00:00,2019-02-05 13:30:00+00:00,39.776715,-70.890255,29.8255,7.95585,1,10.4538615916955,1.57272388494504,15%,>0&<10,1.504643597868,0.31249584908965,1.19214774877835,0.20768762086413,0.79231237913587,1,0.561312882460463,NaN,NaN,0,0,0.0934065058756188,0.825406138833499
