cruise,cast,niskin,niskin_other_method,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,duration_incubation,dilution,mu0_HL,mu0_std_HL,g_HL,g_std_HL,kNoN_HL,kNoN_std_HL,muN_HL,muN_std_HL,mu0_LL,mu0_std_LL,g_LL,g_std_LL,kNoN_LL,kNoN_std_LL,muN_LL,muN_std_LL,T3kNoN_LL
ar66,1',10-11-12-13',NA,,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,0,0,0,0.954861111124046,0.178892877581811,0.658318578775444,0.13940398236786,0.447151260696865,0.0483616440034268,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
ar66,15',22-23-24',NA,,2022-04-23 22:40:00+00:00,2022-04-24 22:40:00+00:00,0,0,0,1,0.167252382692794,0.0358605835649599,0.086874157077988,0.108507774066162,0.0411496645970272,-0.0726471905012024,0.086874157077988,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
ar66,19',22-23-24',NA,,2022-04-24 21:10:00+00:00,2022-04-25 21:15:00+00:00,0,0,0,1.00347222213168,0.213210587956583,0.0394754516731215,0.137905529362748,0,0,0.0394754516731215,0.137905529362748,0.246579832946252,0.046682306228722,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
ar66,20',20-21-22',NA,,2022-04-25 04:35:00+00:00,2022-04-26 04:35:00+00:00,0,0,0,1,0.19356984057613,-0.233933495858049,0.0613382590258237,0,0,-0.233933495858049,0.0613382590258237,0.0518361781500512,0.0707677657979606,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
ar66,22',16-17-18',NA,,2022-04-26 03:35:00+00:00,2022-04-27 03:35:00+00:00,0,0,0,1,0.172748824375267,-0.00797364037494481,0.141147602160561,0.0504934310453483,0.0589818986481131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
ar66,3',14-15-16',NA,,2022-04-21 01:20:00+00:00,2022-04-22 01:30:00+00:00,0,0,0,1.00694444449618,0.315754706594737,0.132947923235498,0.106144758058437,0.0808930931984994,0.0627670685580602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
ar66,6',22-23-24',NA,,2022-04-21 22:00:00+00:00,2022-04-22 22:00:00+00:00,0,0,0,1,0.231064782332699,0.392391495978499,0.0454627332579596,0,0,0.392391495978499,0.0454627332579596,0.509792103515386,0.090444102926897,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
ar66,8',21-22-23',NA,,2022-04-22 08:45:00+00:00,2022-04-23 08:30:00+00:00,0,0,0,0.989583333255723,0.191754473992307,0.754036623511973,0.0820823260490562,-0.18067958244754,0.0555781160516809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
