cruise,cast,niskin,dilution,mu0_HL,mu0_std_HL,g_HL,g_std_HL,kNoN_HL,kNoN_std_HL,muN_HL,muN_std_HL,mu0_LL,mu0_std_LL,g_LL,g_std_LL,kNoN_LL,kNoN_std_LL,muN_LL,muN_std_LL
en661,1',17-18-19-20',0.21237492457409,0.0329894540832015,0.147772484525251,0,0,NaN,NaN,NaN,NaN,0.293291756241942,0.151857440032801,0.320502686576672,0.0962385382289153,NaN,NaN,NaN,NaN
en661,10',10-11',0.287274399356248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.209528173567122,0.149287491170251,0,0,NaN,NaN,NaN,NaN
en661,10',15-16',0.19527069654415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.363334230328905,0.124490352833452,0.250675589157804,0.0778368951213123,NaN,NaN,NaN,NaN
en661,10',21-22-23',0.229606835728219,0.222550066880981,0.254903359379474,0,0,NaN,NaN,NaN,NaN,0.276797748612882,0.0925033010484225,0,0,NaN,NaN,NaN,NaN
en661,12',16-17-18-19',0.222950166822886,0.178512711141953,0.0477123122891292,0.10572166325796,0.0397264220450956,NaN,NaN,NaN,NaN,0.23780527030879,0.0559037063737456,0.186044068390934,0.0421365929018437,NaN,NaN,NaN,NaN
en661,13',16-17',0.238222680533258,0.0661179529177317,0.105304084406146,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en661,2',17-18-19-20',0.23,-0.00923321888981175,0.11354485681929,0,0,NaN,NaN,NaN,NaN,0.396069785643791,0.117478822332315,0.280927016576223,0.116851002002908,NaN,NaN,NaN,NaN
en661,5',19-20-21-22',0.221402337708356,0.260281944742761,0.0407115743126879,-0.143401748023906,0.0434645789527193,NaN,NaN,NaN,NaN,0.26240741947148,0.101917976080412,0,0,NaN,NaN,NaN,NaN
