cruise,cast,niskin,dilution,mu0_HL,mu0_std_HL,g_HL,g_std_HL,kNoN_HL,kNoN_std_HL,muN_HL,muN_std_HL,mu0_LL,mu0_std_LL,g_LL,g_std_LL,kNoN_LL,kNoN_std_LL,muN_LL,muN_std_LL,T3kNoN_LL
en608,1',11-12-13-14',0.221662468513853,NaN,NaN,0.319311285917287,0.135604990593382,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
en608,15',22-23-24',0.166804979253112,NaN,NaN,0.372591180355349,0.0650675695173474,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
en608,19',11-12',0.258352144469526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
en608,19',15',0.22967032967033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
en608,19',21-22-23',0.174423076923077,NaN,NaN,0,0,NaN,NaN,0.477284291031605,0.0573462127133171,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
en608,5',17-18-19-20',0.228260869565218,NaN,NaN,0,0,NaN,NaN,0.113720700382042,0.0604266975689944,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
en608,8',20-21-22-23',0.200103519668737,NaN,NaN,0.447369210914701,0.0946635614542293,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN
