cruise,cast,niskin,niskin_second_cast,station,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,T0_TF,dilution,nutrient_treatment,light_level,replicate_bottle,replicate_chl,filter_size,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,blank_acid,fo_blank,fa_blank,fo_fa,chl,phaeo,iode_quality_flag
en627,3',8-10-11',NA',L1,2019-02-01 21:55:07+00:00,2019-02-01 23:10:00+00:00,2019-02-02 23:25:00+00:00,41.1984733333333,-70.8796366666667,2.13966666666667,3.82443333333333,1,5.26921575342466,1.82203599857265,T0,dil,NA,NA,NA,a,>0&<200,152,6,0.324655349,2.154519162,43.1,28.6,2.46,2.45,40.64,26.15,1.55411089866157,0.346535575508342,0.375489497821672,1
en627,3',8-10-11',NA',L1,2019-02-01 21:55:07+00:00,2019-02-01 23:10:00+00:00,2019-02-02 23:25:00+00:00,41.1984733333333,-70.8796366666667,2.13966666666667,3.82443333333333,1,5.26921575342466,1.82203599857265,T0,dil,NA,NA,NA,b,>0&<200,152,6,0.324655349,2.154519162,35.4,26.2,2.46,2.45,32.94,23.75,1.38694736842105,0.219783432637796,0.435975477174358,1
en627,3',8-10-11',NA',L1,2019-02-01 21:55:07+00:00,2019-02-01 23:10:00+00:00,2019-02-02 23:25:00+00:00,41.1984733333333,-70.8796366666667,2.13966666666667,3.82443333333333,1,5.26921575342466,1.82203599857265,T0,dil,NA,NA,NA,c,>0&<200,152,6,0.324655349,2.154519162,36.2,24.1,2.46,2.45,33.74,21.65,1.55842956120092,0.289138378736774,0.308637637997253,1
en627,3',8-10-11',NA',L1,2019-02-01 21:55:07+00:00,2019-02-01 23:10:00+00:00,2019-02-02 23:25:00+00:00,41.1984733333333,-70.8796366666667,2.13966666666667,3.82443333333333,1,5.26921575342466,1.82203599857265,T0,dil,NA,NA,NA,a,>10&<200,152,6,0.324655349,2.154519162,27.5,14.7,2.46,2.45,25.04,12.25,2.04408163265306,0.305879227795148,0.032354315160595,1
en627,3',8-10-11',NA',L1,2019-02-01 21:55:07+00:00,2019-02-01 23:10:00+00:00,2019-02-02 23:25:00+00:00,41.1984733333333,-70.8796366666667,2.13966666666667,3.82443333333333,1,5.26921575342466,1.82203599857265,T0,dil,NA,NA,NA,b,>10&<200,152,6,0.324655349,2.154519162,33.2,17.9,2.46,2.45,30.74,15.45,1.98964401294498,0.365667974432198,0.0609204532140245,3
en627,3',8-10-11',NA',L1,2019-02-01 21:55:07+00:00,2019-02-01 23:10:00+00:00,2019-02-02 23:25:00+00:00,41.1984733333333,-70.8796366666667,2.13966666666667,3.82443333333333,1,5.26921575342466,1.82203599857265,T0,dil,NA,NA,NA,c,>10&<200,152,6,0.324655349,2.154519162,24.7,14.1,2.46,2.45,22.24,11.65,1.90901287553648,0.253265130754544,0.0684018713217339,1
en627,3',8-10-11',NA',L1,2019-02-01 21:55:07+00:00,2019-02-01 23:10:00+00:00,2019-02-02 23:25:00+00:00,41.1984733333333,-70.8796366666667,2.13966666666667,3.82443333333333,1,5.26921575342466,1.82203599857265,T0,wsw,NA,NA,NA,a,>0&<200,152,6,0.324655349,2.154519162,222,160,2.46,2.45,219.54,157.55,1.39346239289115,1.48252176161229,2.86757576432055,1
en627,3',8-10-11',NA',L1,2019-02-01 21:55:07+00:00,2019-02-01 23:10:00+00:00,2019-02-02 23:25:00+00:00,41.1984733333333,-70.8796366666667,2.13966666666667,3.82443333333333,1,5.26921575342466,1.82203599857265,T0,wsw,NA,NA,NA,b,>0&<200,152,6,0.324655349,2.154519162,253,157,2.46,2.45,250.54,154.55,1.62109349725008,2.29564871587617,1.97161610565934,1
en627,3',8-10-11',NA',L1,2019-02-01 21:55:07+00:00,2019-02-01 23:10:00+00:00,2019-02-02 23:25:00+00:00,41.1984733333333,-70.8796366666667,2.13966666666667,3.82443333333333,1,5.26921575342466,1.82203599857265,T0,wsw,NA,NA,NA,c,>0&<200,152,6,0.324655349,2.154519162,288,166,2.46,2.45,285.54,163.55,1.74588810761235,2.91745168090149,1.59831125382599,1
en627,3',8-10-11',NA',L1,2019-02-01 21:55:07+00:00,2019-02-01 23:10:00+00:00,2019-02-02 23:25:00+00:00,41.1984733333333,-70.8796366666667,2.13966666666667,3.82443333333333,1,5.26921575342466,1.82203599857265,T0,wsw,NA,NA,NA,a,>10&<200,152,6,0.324655349,2.154519162,NaN,NaN,2.46,2.45,NaN,NaN,NaN,NaN,NaN,3
