cruise,cast,niskin,niskin_other_method,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,T0_TF,dilution,nutrient_treatment,light_level,replicate_bottle,replicate_chl,filter_size,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,blank_acid,fo_blank,fa_blank,fo_fa,chl,phaeo,iode_quality_flag,nearest_station,distance
en657,1',17-18-19-20',NaN,NaN,10/13/0020 15:20,10/14/0020 16:20,NaN,NaN,NaN,T0,dil,NA,NA,NA,a,>0&<200,152,6,0.837516556,2.152385698,33.4,19.5,0.7575,0.7825,32.6425,18.7175,1.7439561907306,0.859841703375224,0.472050273409708,1,NaN,NaN
en657,1',17-18-19-20',NaN,NaN,10/13/0020 15:20,10/14/0020 16:20,NaN,NaN,NaN,T0,dil,NA,NA,NA,b,>0&<200,152,6,0.837516556,2.152385698,35.4,20.2,0.7575,0.7825,34.6425,19.4175,1.78408651989185,0.940114178376142,0.441588103404085,1,NaN,NaN
en657,1',17-18-19-20',NaN,NaN,10/13/0020 15:20,10/14/0020 16:20,NaN,NaN,NaN,T0,dil,NA,NA,NA,c,>0&<200,152,6,0.837516556,2.152385698,30.4,19.7,0.7575,0.7825,29.6425,18.9175,1.56693537729615,0.662247918757578,0.683875573740296,1,NaN,NaN
en657,1',17-18-19-20',NaN,NaN,10/13/0020 15:20,10/14/0020 16:20,NaN,NaN,NaN,T0,dil,NA,NA,NA,a,>10&<200,152,6,0.837516556,2.152385698,8.07,4.36,0.7575,0.7825,7.3125,3.5775,2.0440251572327,0.230628995483408,0.0239372418318365,1,NaN,NaN
en657,1',17-18-19-20',NaN,NaN,10/13/0020 15:20,10/14/0020 16:20,NaN,NaN,NaN,T0,dil,NA,NA,NA,b,>10&<200,152,6,0.837516556,2.152385698,13.7,7.04,0.7575,0.7825,12.9425,6.2575,2.06831801837795,0.4127857656778,0.0324827821908631,1,NaN,NaN
en657,1',17-18-19-20',NaN,NaN,10/13/0020 15:20,10/14/0020 16:20,NaN,NaN,NaN,T0,dil,NA,NA,NA,c,>10&<200,152,6,0.837516556,2.152385698,13.3,6.87,0.7575,0.7825,12.5425,6.0875,2.06036960985626,0.398583712408407,0.034588047104256,1,NaN,NaN
en657,1',17-18-19-20',NaN,NaN,10/13/0020 15:20,10/14/0020 16:20,NaN,NaN,NaN,T0,wsw,NA,NA,NA,a,>0&<200,152,6,0.837516556,2.152385698,148,78.4,0.7575,0.7825,147.2425,77.6175,1.89702708796341,4.29920851687612,1.22386483737014,1,NaN,NaN
en657,1',17-18-19-20',NaN,NaN,10/13/0020 15:20,10/14/0020 16:20,NaN,NaN,NaN,T0,wsw,NA,NA,NA,b,>0&<200,152,6,0.837516556,2.152385698,137,81.5,0.7575,0.7825,136.2425,80.7175,1.68789296001487,3.42856090340462,2.31510094439224,1,NaN,NaN
en657,1',17-18-19-20',NaN,NaN,10/13/0020 15:20,10/14/0020 16:20,NaN,NaN,NaN,T0,wsw,NA,NA,NA,c,>0&<200,152,6,0.837516556,2.152385698,151,78.5,0.7575,0.7825,150.2425,77.7175,1.93318750603146,4.47827788418586,1.05191122791687,1,NaN,NaN
en657,1',17-18-19-20',NaN,NaN,10/13/0020 15:20,10/14/0020 16:20,NaN,NaN,NaN,T0,wsw,NA,NA,NA,a,>10&<200,152,6,0.837516556,2.152385698,48.9,24.1,0.7575,0.7825,48.1425,23.3175,2.06465101318752,1.53289553222908,0.126321305953512,1,NaN,NaN
en657,1',17-18-19-20',NaN,NaN,10/13/0020 15:20,10/14/0020 16:20,NaN,NaN,NaN,T0,wsw,NA,NA,NA,b,>10&<200,152,6,0.837516556,2.152385698,60.7,30.5,0.7575,0.7825,59.9425,29.7175,2.01707747959956,1.86633504377136,0.248290297225369,1,NaN,NaN
en657,1',17-18-19-20',NaN,NaN,10/13/0020 15:20,10/14/0020 16:20,NaN,NaN,NaN,T0,wsw,NA,NA,NA,c,>10&<200,152,6,0.837516556,2.152385698,63,29.6,0.7575,0.7825,62.2425,28.8175,2.15988548624967,2.063928828389,-0.0133453081005143,1,NaN,NaN
en657,1',17-18-19-20',NaN,NaN,10/13/0020 15:20,10/14/0020 16:20,NaN,NaN,NaN,TF,dil,N,15%,a,a,>0&<200,152,6,0.837516556,2.152385698,41.6,23,0.7215,0.7555,40.8785,22.2445,1.8376902155589,1.15061330705163,0.43225144933103,1,NaN,NaN
en657,1',17-18-19-20',NaN,NaN,10/13/0020 15:20,10/14/0020 16:20,NaN,NaN,NaN,TF,dil,N,15%,a,b,>0&<200,152,6,0.837516556,2.152385698,40,26,0.7215,0.7555,39.2785,25.2445,1.55592307235239,0.866572241663763,0.929765250413021,1,NaN,NaN
