cruise,cast,niskin,niskin_other_method,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,T0_TF,dilution,nutrient_treatment,light_level,replicate_bottle,replicate_chl,filter_size,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,blank_acid,fo_blank,fa_blank,fo_fa,chl,phaeo,iode_quality_flag,nearest_station,distance
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,dil,N,15%,b,a,>0&<200,151,6,1.393,2.13,32.4,20.6,0.513,0.513,31.887,20.087,1.58744461592074,1.23114324561918,1.1370661648444,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,dil,N,15%,b,b,>0&<200,151,6,1.393,2.13,36.1,19.5,0.513,0.513,35.587,18.987,1.87428240374993,1.73194727773545,0.50657475524468,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,dil,N,15%,b,c,>0&<200,151,6,1.393,2.13,34.6,18.9,0.513,0.513,34.087,18.387,1.85386414314461,1.63804652171365,0.529736941730058,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,wsw,NoN,15%,a,a,>0&<200,151,6,1.393,2.13,136,84.7,0.513,0.513,135.487,84.187,1.60935773931842,5.35234309324269,4.57310349602884,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,wsw,NoN,15%,a,b,>0&<200,151,6,1.393,2.13,145,83,0.513,0.513,144.487,82.487,1.75163359074763,6.46871874816855,3.2563018940831,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,wsw,NoN,15%,a,c,>0&<200,151,6,1.393,2.13,113,59.7,0.513,0.513,112.487,59.187,1.90053559058577,5.5610114399578,1.41699475196273,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,wsw,NoN,15%,b,a,>0&<200,151,6,1.393,2.13,134,72.6,0.513,0.513,133.487,72.087,1.85174858157504,6.40611824415402,2.09276719279962,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,wsw,NoN,15%,b,b,>0&<200,151,6,1.393,2.13,127,75.6,0.513,0.513,126.487,75.087,1.68453926778271,5.36277651057845,3.48980177405731,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,wsw,NoN,15%,b,c,>0&<200,151,6,1.393,2.13,118,79.8,0.513,0.513,117.487,79.287,1.48179398892631,3.98556542225869,5.36218284913204,3,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,wsw,N,15%,a,a,>0&<200,151,6,1.393,2.13,137,79.2,0.513,0.513,136.487,78.687,1.7345558986872,6.03051522006681,3.24649448178749,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,wsw,N,15%,a,b,>0&<200,151,6,1.393,2.13,148,86.2,0.513,0.513,147.487,85.687,1.72122959141994,6.44785191349704,3.65444109961554,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,wsw,N,15%,a,c,>0&<200,151,6,1.393,2.13,150,82.6,0.513,0.513,149.487,82.087,1.82108007358047,7.03212328429936,2.64573831159467,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,wsw,N,15%,b,a,>0&<200,151,6,1.393,2.13,132,79.2,0.513,0.513,131.487,78.687,1.67101300087689,5.50884435327903,3.76816534857528,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,wsw,N,15%,b,b,>0&<200,151,6,1.393,2.13,127,73.9,0.513,0.513,126.487,73.387,1.72356139370733,5.54014460528629,3.1120077323296,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,wsw,N,15%,b,c,>0&<200,151,6,1.393,2.13,152,89.8,0.513,0.513,151.487,89.287,1.69662996852845,6.48958558284006,4.03713884749106,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,dil,N,65%,a,a,>0&<200,151,6,1.393,2.13,38,21.2,0.513,0.513,37.487,20.687,1.81210422004157,1.75281411240696,0.686133867593037,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,dil,N,65%,a,b,>0&<200,151,6,1.393,2.13,35.9,21.3,0.513,0.513,35.387,20.787,1.70236205320633,1.52327893102034,0.927458810569067,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,dil,N,65%,a,c,>0&<200,151,6,1.393,2.13,33.2,20.1,0.513,0.513,32.687,19.587,1.66881094603564,1.366777670984,0.942482931532555,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,dil,N,65%,b,a,>0&<200,151,6,1.393,2.13,32.7,17.9,0.513,0.513,32.187,17.387,1.85121067464197,1.54414576569185,0.50574008185782,1,NaN,NaN
en608,1',11-12-13-14',NA',2018-01-31 19:44:59+00:00,2018-01-31 21:00:00+00:00,2018-02-01 21:30:00+00:00,41.19641,-70.877725,2.84375,2.3088,1,5.0187593220339,1.22481221649958,TF,dil,N,65%,b,b,>0&<200,151,6,1.393,2.13,33.1,20.4,0.513,0.513,32.587,19.887,1.63860813596822,1.32504400164098,1.01958588564379,1,NaN,NaN
