cruise,cast,niskin,dilution,k_dil_HL,k_wsw_NoN_HL,k_wsw_N_HL,k_dil_LL,k_wsw_NoN_LL,k_wsw_N_LL,k_dil_HL_u10um,k_wsw_NoN_HL_u10um,k_wsw_N_HL_u10um,k_dil_LL_u10um,k_wsw_NoN_LL_u10um,k_wsw_N_LL_u10um,k_dil_HL_d10um,k_wsw_NoN_HL_d10um,k_wsw_N_HL_d10um,k_dil_LL_d10um,k_wsw_NoN_LL_d10um,k_wsw_N_LL_d10um,k_dil_HL_10um_sf,k_wsw_NoN_HL_10um_sf,k_wsw_N_HL_10um_sf,k_dil_LL_10um_sf,k_wsw_NoN_LL_10um_sf,k_wsw_N_LL_10um_sf,k_dil_HL_no_mesh,k_wsw_NoN_HL_no_mesh,k_wsw_N_HL_no_mesh,k_dil_LL_no_mesh,k_wsw_NoN_LL_no_mesh,k_wsw_N_LL_no_mesh
en668,1',19-20-21',0.167802971730605,1.258098224191,NaN,1.13808330003166,NaN,NaN,NaN,1.52205028912411,NaN,1.50177405591516,NaN,NaN,NaN,1.27224306716434,NaN,1.07578251302998,NaN,NaN,NaN,1.34190394664454,0.338404137729199,1.27280696084363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,1',19-20-21',0.167802971730605,1.35858293411354,0.406378420756395,1.14347407601422,NaN,NaN,NaN,1.7149363496148,0.490290108186854,1.53852118635211,NaN,NaN,NaN,1.23814519968133,0.0326315273483295,1.06636751409538,NaN,NaN,NaN,1.36713988880686,0.247911584534718,1.14764599650089,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,1',19-20-21',0.167802971730605,1.28069646005177,0.336584689356043,1.13808330003166,NaN,NaN,NaN,1.58806163380479,NaN,1.54622291237517,NaN,NaN,NaN,1.26143215106012,NaN,1.0643384298686,NaN,NaN,NaN,1.28268098560134,0.323316470443447,1.09440249469429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,1',19-20-21',0.167802971730605,1.28069646005177,-0.144546554536088,NaN,NaN,NaN,NaN,NaN,-0.153900636068303,1.4152547466221,NaN,NaN,NaN,NaN,0.148386164743321,1.09631983637873,NaN,NaN,NaN,1.21248288971502,0.847547885391006,1.19113032043285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,1',19-20-21',0.167802971730605,1.32974927422828,-0.0497725547060986,1.23584621020222,NaN,NaN,NaN,1.52405530232713,0.0203967467081228,1.40940720419405,NaN,NaN,NaN,1.27192676161054,0.125105414566057,1.09763045255585,NaN,NaN,NaN,1.29948669160703,0.896336859113298,1.21910368336666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,1',19-20-21',0.167802971730605,1.30552360931253,-0.140655688288066,1.07678362845853,NaN,NaN,NaN,1.57100769135732,-0.175125345097113,1.21589504916272,NaN,NaN,NaN,1.2643052575856,0.150921020346508,1.13617086786363,NaN,NaN,NaN,1.37644156039896,0.915204898390351,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,11',15-16',0.184217203755392,NaN,NaN,NaN,1.31233491619194,NaN,0.96973877904503,NaN,NaN,NaN,2.40344443435098,0.492645465189739,1.13717726985094,NaN,NaN,NaN,0.677980176652216,-0.00409944607382081,0.830272126231964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,11',15-16',0.184217203755392,NaN,NaN,NaN,0.670031952760817,NaN,NaN,NaN,NaN,NaN,2.25300259063977,0.431688137638765,0.788655856277268,NaN,NaN,NaN,0.772316798907943,0.0239300012459683,0.939460005525374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,11',15-16',0.184217203755392,NaN,NaN,NaN,1.16981530996093,NaN,1.02441921988976,NaN,NaN,NaN,2.43090557943099,0.450383778090828,NaN,NaN,NaN,NaN,0.657951200108099,0.0156064772258572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en668,11',15-16',0.184217203755392,NaN,NaN,NaN,NaN,-0.495705817836503,0.767790872754047,NaN,NaN,NaN,2.18167666438545,0.621461206624839,1.10644043393951,NaN,NaN,NaN,0.809531193655916,-0.0728592621882236,0.84215887563543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
