cruise,cast,niskin,niskin_other_method,nearest_station,distance,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,light_level,size_fraction,replicate_bottle,replicate_chl,Chla,Chlad10,Chlau10,Chlad10per,Chlau10per,duration_incubation,dilution,k_dil,k_wsw_NoN,k_wsw_N
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,15%,>0&<200,a,a,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,0.337727485982106,-0.115779040923468,0.068943873829721
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,15%,>0&<200,a,b,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,0.330107239408998,-0.15455615635194,0.0583450839090726
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,15%,>0&<200,a,c,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,0.0185817215088898,0.0898107413390204,-0.391335213735626
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,15%,>0&<200,b,a,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,0.0744193139333711,0.110251648462707,0.068943873829721
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,15%,>0&<200,b,b,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,0.382269952604609,0.0898107413390204,-0.0784476909160879
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,15%,>0&<200,b,c,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,0.208244420531058,0.068943873829721,-0.141462898590554
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,15%,>10&<200,a,a,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,NaN,0.119330144962226,0.0368334588418097
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,15%,>10&<200,a,b,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,0.261472333649979,NaN,0.0356215979605393
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,15%,>10&<200,a,c,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,0.134902917686192,0.104724572983035,0.0368334588418097
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,15%,>10&<200,b,a,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,0.144493708780322,0.0887535438388333,0.0246483442934506
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,15%,>10&<200,b,b,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,-0.0614265007957607,0.115978486505744,0.0295401969453169
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,15%,>10&<200,b,c,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,0.125219382099343,NaN,0.0748583827915272
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,15%,>0&<10,a,a,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,NaN,NaN,-3.40221209656242
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,15%,>0&<10,a,b,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,-0.694111223868746,NaN,-3.11412990998633
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,15%,>0&<10,a,c,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,1.54971489037994,NaN,-3.40221209656242
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,15%,>0&<10,b,a,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,1.40066224523202,0.0991584793027836,-1.10761336166921
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,15%,>0&<10,b,b,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,2.29572326148039,-0.178859393206513,-1.25264574339921
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,15%,>0&<10,b,c,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,1.53900472603587,0.871086766747597,NaN
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,65%,>0&<200,a,a,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,0.141259185372001,0.233822817330121,NaN
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,65%,>0&<200,a,b,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,0.122612943014319,NaN,0.00360017577816388
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,65%,>0&<200,a,c,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,0.246385145714717,-0.0191642136160046,-0.0784476909160879
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,65%,>0&<200,b,a,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,0.113157984819298,NaN,-0.103179990439398
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,65%,>0&<200,b,b,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,-0.157930114571052,NaN,0.00360017577816388
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,65%,>0&<200,b,c,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,0.145866996656341,NaN,-0.22272051188896
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,65%,>10&<200,a,a,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,0.00655769217903183,0.0135535120802688,0.0736917024154797
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,65%,>10&<200,a,b,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,0.0174528446204454,0.0258735496223249,0.0488720833249791
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,65%,>10&<200,a,c,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,-0.00445730484871729,0.5423808169362,0.0910507738096697
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,65%,>10&<200,b,a,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,-0.0212103651023295,-0.0491077841213812,NaN
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,65%,>10&<200,b,b,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,0.130072854925182,0.0135535120802688,NaN
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,65%,>10&<200,b,c,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,0.0335764853766677,0.0795115590925512,NaN
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,65%,>0&<10,a,a,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,1.81080377627422,0.762455246651277,NaN
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,65%,>0&<10,a,b,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,1.76030278238222,0.708892168540682,NaN
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,65%,>0&<10,a,c,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,1.8588797676669,NaN,NaN
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,65%,>0&<10,b,a,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,1.03105143297492,NaN,NaN
en661,1',17-18-19-20',NA',,NaN,2021-02-03 19:06:39+00:00,2021-02-03 20:02:00+00:00,2021-02-04 20:00:00+00:00,41.195855,-70.877185,1.0975,3.8531,1,5.90709342560554,1.4126412889974,65%,>0&<10,b,b,5.18718242867487,0.524589156080803,4.66259327259407,0.101131811594067,0.898868188405933,0.998611111193895,0.21237492457409,NaN,NaN,NaN
