cruise,cast,niskin,niskin_other_method,station,nearest_station,distance,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,light_level,size_fraction,replicate_bottle,replicate_chl,Chla,Chlad10,Chlau10,Chlad10per,Chlau10per,duration_incubation,dilution,k_dil,k_wsw_NoN,k_wsw_N
ar66b,1',10-11-12-13',NA',L2,,NaN,2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,65%,>0&<200,a,a,1.58574486582654,0.853323291326911,0.732421574499629,0.538121427801144,0.461878572198856,0.954861111124046,0.185403860670765,0.0458841696272589,-0.0654458091543103,-0.0343540045011594
ar66b,1',10-11-12-13',NA',L2,,NaN,2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,65%,>0&<200,a,b,1.58574486582654,0.853323291326911,0.732421574499629,0.538121427801144,0.461878572198856,0.954861111124046,0.185403860670765,0.0717973941741021,-0.145035641142108,-0.111527713939833
ar66b,1',10-11-12-13',NA',L2,,NaN,2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,65%,>0&<200,a,c,1.58574486582654,0.853323291326911,0.732421574499629,0.538121427801144,0.461878572198856,0.954861111124046,0.185403860670765,NaN,-0.102147689503115,-0.0790587312443145
ar66b,1',10-11-12-13',NA',L2,,NaN,2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,65%,>0&<200,b,a,1.58574486582654,0.853323291326911,0.732421574499629,0.538121427801144,0.461878572198856,0.954861111124046,0.185403860670765,0.00804022990848938,-0.111527713939833,-0.102147689503115
ar66b,1',10-11-12-13',NA',L2,,NaN,2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,65%,>0&<200,b,b,1.58574486582654,0.853323291326911,0.732421574499629,0.538121427801144,0.461878572198856,0.954861111124046,0.185403860670765,0.16947803277994,-0.159731009397907,-0.194844016194105
ar66b,1',10-11-12-13',NA',L2,,NaN,2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,65%,>0&<200,b,c,1.58574486582654,0.853323291326911,0.732421574499629,0.538121427801144,0.461878572198856,0.954861111124046,0.185403860670765,0.329527063763409,-0.00415871235209968,-0.0836359794715067
ar66b,1',10-11-12-13',NA',L2,,NaN,2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,65%,>0&<200,c,a,1.58574486582654,0.853323291326911,0.732421574499629,0.538121427801144,0.461878572198856,0.954861111124046,0.185403860670765,0.0739281634284826,NaN,-0.149911221304035
ar66b,1',10-11-12-13',NA',L2,,NaN,2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,65%,>0&<200,c,b,1.58574486582654,0.853323291326911,0.732421574499629,0.538121427801144,0.461878572198856,0.954861111124046,0.185403860670765,0.205759111848634,NaN,-0.247140088953282
ar66b,1',10-11-12-13',NA',L2,,NaN,2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,65%,>0&<200,c,c,1.58574486582654,0.853323291326911,0.732421574499629,0.538121427801144,0.461878572198856,0.954861111124046,0.185403860670765,0.295631783994467,NaN,-0.154809605946298
ar66b,1',10-11-12-13',NA',L2,,NaN,2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,65%,>10&<200,a,a,1.58574486582654,0.853323291326911,0.732421574499629,0.538121427801144,0.461878572198856,0.954861111124046,0.185403860670765,0.563796508778658,0.177435742815299,0.16183943480926
ar66b,1',10-11-12-13',NA',L2,,NaN,2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,65%,>10&<200,a,b,1.58574486582654,0.853323291326911,0.732421574499629,0.538121427801144,0.461878572198856,0.954861111124046,0.185403860670765,0.473753201564867,0.185147653416701,0.0970222958959538
ar66b,1',10-11-12-13',NA',L2,,NaN,2022-04-20 14:33:53+00:00,2022-04-20 19:35:00+00:00,2022-04-21 18:30:00+00:00,41.0306666666667,-70.8825,3.24684688481814,7.391025,1,10.5092363636364,3.31520360795178,65%,>10&<200,a,c,1.58574486582654,0.853323291326911,0.732421574499629,0.538121427801144,0.461878572198856,0.954861111124046,0.185403860670765,0.584418579005184,0.138000634811355,0.0189608883163122
