cruise,cast,niskin,niskin_other_method,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,duration_incubation,dilution,k_dil_HL,k_wsw_NoN_HL,k_wsw_N_HL,k_dil_LL,k_wsw_NoN_LL,k_wsw_N_LL,k_dil_HL_u10um,k_wsw_NoN_HL_u10um,k_wsw_N_HL_u10um,k_dil_LL_u10um,k_wsw_NoN_LL_u10um,k_wsw_N_LL_u10um,k_dil_HL_d10um,k_wsw_NoN_HL_d10um,k_wsw_N_HL_d10um,k_dil_LL_d10um,k_wsw_NoN_LL_d10um,k_wsw_N_LL_d10um,k_dil_HL_10um_sf,k_wsw_NoN_HL_10um_sf,k_wsw_N_HL_10um_sf,k_dil_LL_10um_sf,k_wsw_NoN_LL_10um_sf,k_wsw_N_LL_10um_sf,k_dil_HL_no_mesh,k_wsw_NoN_HL_no_mesh,k_wsw_N_HL_no_mesh,k_dil_LL_no_mesh,k_wsw_NoN_LL_no_mesh,k_wsw_N_LL_no_mesh
en608,15',22-23-24',NA,2018-02-02 19:23:45+00:00,2018-02-02 20:50:00+00:00,2018-02-03 21:00:00+00:00,0,0,0,1.00694444449618,0.166804979253112,0.343285403669994,0.262771252042596,NaN,0.405957222015708,0.0638358469088388,0.0244218072523637,0.305496273883347,NaN,0.120473752884201,NaN,NaN,NaN,1.00050395818359,NaN,-0.614047321196055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,15',22-23-24',NA,2018-02-02 19:23:45+00:00,2018-02-02 20:50:00+00:00,2018-02-03 21:00:00+00:00,0,0,0,1.00694444449618,0.166804979253112,NaN,NaN,0.0715343618037652,0.422237971033473,0.166535748515796,0.0905235339982114,NaN,NaN,0.0628864073585365,NaN,NaN,NaN,NaN,NaN,-0.261947441586208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,19',11-12',NA,2018-02-03 18:14:34+00:00,2018-02-03 20:00:00+00:00,2018-02-04 20:00:00+00:00,0,0,0,1,0.258352144469526,NaN,NaN,NaN,NaN,0.236151135477559,0.293309549317507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,19',11-12',NA,2018-02-03 18:14:34+00:00,2018-02-03 20:00:00+00:00,2018-02-04 20:00:00+00:00,0,0,0,1,0.258352144469526,NaN,NaN,NaN,0.352998469209424,0.129006498026231,0.342580598324291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,19',11-12',NA,2018-02-03 18:14:34+00:00,2018-02-03 20:00:00+00:00,2018-02-04 20:00:00+00:00,0,0,0,1,0.258352144469526,NaN,NaN,NaN,0.321190362013198,0.262537890650755,0.241484481452924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,19',11-12',NA,2018-02-03 18:14:34+00:00,2018-02-03 20:00:00+00:00,2018-02-04 20:00:00+00:00,0,0,0,1,0.258352144469526,NaN,NaN,NaN,0.434315332927076,0.25206659078346,0.366334684332399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,19',11-12',NA,2018-02-03 18:14:34+00:00,2018-02-03 20:00:00+00:00,2018-02-04 20:00:00+00:00,0,0,0,1,0.258352144469526,NaN,NaN,NaN,0.115012344857285,0.192428324463731,0.293309549317507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,19',11-12',NA,2018-02-03 18:14:34+00:00,2018-02-03 20:00:00+00:00,2018-02-04 20:00:00+00:00,0,0,0,1,0.258352144469526,NaN,NaN,NaN,0.208621843979592,0.146706075125634,0.421142920827394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,19',15',NA,2018-02-03 18:17:18+00:00,2018-02-03 20:00:00+00:00,2018-02-04 20:00:00+00:00,0,0,0,1,0.22967032967033,NaN,NaN,NaN,0.216422450641132,0.225338941877648,0.161969327945059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,19',15',NA,2018-02-03 18:17:18+00:00,2018-02-03 20:00:00+00:00,2018-02-04 20:00:00+00:00,0,0,0,1,0.22967032967033,NaN,NaN,NaN,0.0670771620888123,0.0586835018280938,0.0638514719865334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,19',15',NA,2018-02-03 18:17:18+00:00,2018-02-03 20:00:00+00:00,2018-02-04 20:00:00+00:00,0,0,0,1,0.22967032967033,NaN,NaN,NaN,0.250516661984109,0.0377403279828471,0.109199291964992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,19',15',NA,2018-02-03 18:17:18+00:00,2018-02-03 20:00:00+00:00,2018-02-04 20:00:00+00:00,0,0,0,1,0.22967032967033,NaN,NaN,NaN,0.235506999333543,0.189620859275567,0.161969327945059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,19',15',NA,2018-02-03 18:17:18+00:00,2018-02-03 20:00:00+00:00,2018-02-04 20:00:00+00:00,0,0,0,1,0.22967032967033,NaN,NaN,NaN,0.175118644499896,0.114113306767423,0.109199291964992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,19',15',NA,2018-02-03 18:17:18+00:00,2018-02-03 20:00:00+00:00,2018-02-04 20:00:00+00:00,0,0,0,1,0.22967032967033,NaN,NaN,NaN,-0.0266682470821618,0.161969327945059,0.194156014440961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,19',21-22-23',NA,2018-02-03 18:20:36+00:00,2018-02-03 20:00:00+00:00,2018-02-04 20:00:00+00:00,0,0,0,1,0.174423076923077,0.485786439865104,0.207639364778241,0.14785144639927,0.436123802178061,0.207639364778241,0.0791970416611917,0.279562948013278,NaN,0.438115275878911,NaN,NaN,NaN,0.758163903667252,NaN,-0.864997437486631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,19',21-22-23',NA,2018-02-03 18:20:36+00:00,2018-02-03 20:00:00+00:00,2018-02-04 20:00:00+00:00,0,0,0,1,0.174423076923077,0.317321917732576,0.14310084364067,0.185065042739701,0.489654916643024,0.198670694795481,0.161969327945056,0.458254736756653,NaN,0.460215622879575,NaN,NaN,NaN,-1.21194097397511,NaN,-1.01914811731388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
en608,19',21-22-23',NA,2018-02-03 18:20:36+00:00,2018-02-03 20:00:00+00:00,2018-02-04 20:00:00+00:00,0,0,0,1,0.174423076923077,0.355571799866574,0.128712106188573,0.138327564888015,0.346702562125795,0.166631341050864,0.198670694795481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
