cruise,cast,niskin,niskin_other_method,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,duration_incubation,dilution,k_dil_HL,k_wsw_NoN_HL,k_wsw_N_HL,k_dil_LL,k_wsw_NoN_LL,k_wsw_N_LL,k_dil_HL_u10um,k_wsw_NoN_HL_u10um,k_wsw_N_HL_u10um,k_dil_LL_u10um,k_wsw_NoN_LL_u10um,k_wsw_N_LL_u10um,k_dil_HL_d10um,k_wsw_NoN_HL_d10um,k_wsw_N_HL_d10um,k_dil_LL_d10um,k_wsw_NoN_LL_d10um,k_wsw_N_LL_d10um,k_dil_HL_10um_sf,k_wsw_NoN_HL_10um_sf,k_wsw_N_HL_10um_sf,k_dil_LL_10um_sf,k_wsw_NoN_LL_10um_sf,k_wsw_N_LL_10um_sf,k_dil_HL_no_mesh,k_wsw_NoN_HL_no_mesh,k_wsw_N_HL_no_mesh,k_dil_LL_no_mesh,k_wsw_NoN_LL_no_mesh,k_wsw_N_LL_no_mesh
at46,13',16-17',NA,2022-02-19 03:35:33+00:00,2022-02-19 04:30:00+00:00,2022-02-20 04:00:00+00:00,0,0,0,0.979166666627862,0.325585145595281,NaN,NaN,NaN,-0.0437950824357178,-0.202811316635325,-0.0290721246370649,NaN,NaN,NaN,0.0146727078178729,-0.0985216670970498,0.0915979673615908,NaN,NaN,NaN,0.899358286674715,0.0912116033143224,-0.512774751132387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,13',16-17',NA,2022-02-19 03:35:33+00:00,2022-02-19 04:30:00+00:00,2022-02-20 04:00:00+00:00,0,0,0,0.979166666627862,0.325585145595281,NaN,NaN,NaN,NaN,-0.185737354577998,0.0274317508798914,NaN,NaN,NaN,NaN,0.124117033130217,0.0232782429167278,NaN,NaN,NaN,NaN,-1.21623903605698,-0.156535017558962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,13',22-23',NA,2022-02-19 03:39:07+00:00,2022-02-19 04:30:00+00:00,2022-02-20 04:00:00+00:00,0,0,0,0.979166666627862,0.168317248935902,0.237030003150357,-0.0298769635640386,0.166101316088794,NaN,NaN,NaN,0.384360907319548,0.253290642459204,0.0995785437232747,NaN,NaN,NaN,-2.48096165504484,-2.07717397921386,-0.424023480527617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,13',22-23',NA,2022-02-19 03:39:07+00:00,2022-02-19 04:30:00+00:00,2022-02-20 04:00:00+00:00,0,0,0,0.979166666627862,0.168317248935902,0.0848193813077937,-0.0133919060153298,NaN,NaN,NaN,NaN,0.419970776197349,NaN,0.205825857871171,NaN,NaN,NaN,NaN,NaN,-1.01570341666041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,13',22-23',NA,2022-02-19 03:39:07+00:00,2022-02-19 04:30:00+00:00,2022-02-20 04:00:00+00:00,0,0,0,0.979166666627862,0.168317248935902,0.0598065464563444,-0.235360274227217,-0.168500217526036,NaN,NaN,NaN,NaN,0.120106169781425,0.213273261816082,NaN,NaN,NaN,NaN,-0.693357002313178,-1.0768759867882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,13',22-23',NA,2022-02-19 03:39:07+00:00,2022-02-19 04:30:00+00:00,2022-02-20 04:00:00+00:00,0,0,0,0.979166666627862,0.168317248935902,0.218618448924024,0.0832724929717976,0.0652635341990001,NaN,NaN,NaN,0.195856461050243,0.0995785437232747,0.220666750359218,NaN,NaN,NaN,-0.307132678638177,-0.590456958499483,-1.14194745680209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,13',22-23',NA,2022-02-19 03:39:07+00:00,2022-02-19 04:30:00+00:00,2022-02-20 04:00:00+00:00,0,0,0,0.979166666627862,0.168317248935902,0.0543660119041969,-0.123808861379449,-0.243521879174909,NaN,NaN,NaN,NaN,0.267462227399649,0.167751756538036,NaN,NaN,NaN,NaN,-2.48429480616217,-0.755091088079363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,13',22-23',NA,2022-02-19 03:39:07+00:00,2022-02-19 04:30:00+00:00,2022-02-20 04:00:00+00:00,0,0,0,0.979166666627862,0.168317248935902,-0.236018124324476,-0.0671088716722892,-0.016667698587909,NaN,NaN,NaN,NaN,0.171623679723727,0.246130417551309,NaN,NaN,NaN,NaN,-1.02265428079923,-1.40922226809631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,16',15-16-17-18',NA,2022-02-19 23:47:15+00:00,2022-02-20 00:20:00+00:00,2022-02-21 00:20:00+00:00,0,0,0,1,0.233211921550664,-0.0924324148546948,-0.180384662320263,-0.0954749140737873,NaN,NaN,NaN,0.387686269723895,-0.101447803576542,-0.162757443356417,NaN,NaN,NaN,NaN,0.33027819321356,0.491385547562648,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,16',15-16-17-18',NA,2022-02-19 23:47:15+00:00,2022-02-20 00:20:00+00:00,2022-02-21 00:20:00+00:00,0,0,0,1,0.233211921550664,-0.123996706736977,-0.0444665771335499,-0.0293858164248932,NaN,NaN,NaN,0.237043486252491,NaN,0.0868865394817666,NaN,NaN,NaN,-1.58329263232971,NaN,-0.515509473078419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
at46,16',15-16-17-18',NA,2022-02-19 23:47:15+00:00,2022-02-20 00:20:00+00:00,2022-02-21 00:20:00+00:00,0,0,0,1,0.233211921550664,-0.0739612580056324,0.0739424827372731,NaN,NaN,NaN,NaN,0.103440626770696,-0.203825355093235,-0.23217192424767,NaN,NaN,NaN,-0.506420330298059,0.570900341801728,0.631222063933889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
